waktu,id,username,teks
2021-10-12 16:20:53,1447960475627520002,sya🦖,"b'@hendellate Aku 3 hari si, aku cuma pegel aja soalnya pake sinovac'"
2021-10-12 16:19:15,1447960063327358976,AsyRahmn_,"b'RT @AfiqMahadhir: 11. QATAR\n- PCR Test Negative 72 Jam sebelum tiba\n- No Quarantine\n- Sinopharm, Sinovac, Sputnik Vaccine Perlu ambik serol\xe2\x80\xa6'"
2021-10-12 16:15:10,1447959034729017344,Aurora,b'RT @RahimAlKajai: Oh my KJ! Ni ja Countries yg boleh masuk dgn Sinovac... Kena jadi antivax lah klu mcm ni @Khairykj https://t.co/lXg4cVSdFw'
2021-10-12 16:13:36,1447958640670003202,Isma Ibrahim,b'RT @RahimAlKajai: Oh my KJ! Ni ja Countries yg boleh masuk dgn Sinovac... Kena jadi antivax lah klu mcm ni @Khairykj https://t.co/lXg4cVSdFw'
2021-10-12 16:13:14,1447958548378492938,Mohammad Fitri,b'RT @RahimAlKajai: Oh my KJ! Ni ja Countries yg boleh masuk dgn Sinovac... Kena jadi antivax lah klu mcm ni @Khairykj https://t.co/lXg4cVSdFw'
2021-10-12 16:12:43,1447958420796190722,g,b'@igethirty sinovac mi biontech mi (gunun sakasi?!)'
2021-10-12 16:09:22,1447957576914640899,Yusuf Gunawan,b'Dok @samsularifinnnn @bogipratomo @old_soldier1023 kalau kasus begini bagaimana? Jadinya mulai dr awal dosis 1 Sino\xe2\x80\xa6 https://t.co/YE3bRmEITi'
2021-10-12 16:08:08,1447957264602525697,Rahim AlKajai,b'Oh my KJ! Ni ja Countries yg boleh masuk dgn Sinovac... Kena jadi antivax lah klu mcm ni @Khairykj https://t.co/lXg4cVSdFw'
2021-10-12 16:02:07,1447955753428414466,KAI Commuter,"b'@kadalijo666 Selamat malam, saat ini kegiatan vaksin tersedia di stasiun, yaitu:\n1. Tanggal 13 &amp; 14 Oktober 2021 di\xe2\x80\xa6 https://t.co/8zlo4mumXQ'"
2021-10-12 16:01:55,1447955699720282122,KAI Commuter,"b'@st2pid_ Selamat malam, saat ini kegiatan vaksin tersedia di stasiun, yaitu:\n1. Tanggal 13 &amp; 14 Oktober 2021 di St.\xe2\x80\xa6 https://t.co/15aMJOe9n2'"
2021-10-12 15:53:51,1447953669811412994,Puskesmas Kecamatan Taman Sari,"b'*Sinovac*\n1. Kantor RW 02 Mabes (Lapangan UMS) (Hanya Dosis 2, Dosis 1 bumil Non DKI, Dosis 1 remaja &lt;18th Non DKI,\xe2\x80\xa6 https://t.co/1G2J6UYoD0'"
2021-10-12 15:50:26,1447952809479995392,Non Kafir,b'@allaboutmylif3 Bukan sinovac ya?'
2021-10-12 15:49:32,1447952584568815622,OPEN FOLLBACK,b'/wal klo vaksin dosis 1 moderna trs dosis 2 nya kena sinovac kwa lah'
2021-10-12 15:46:16,1447951763902926848,#ReneOut,b'@txtanakbasket Ribet anjir ini bocah pesantren. Kalo ketemu gw tangkep terus suntik Sinovac'
2021-10-12 15:35:24,1447949028939874304,Agraprana Pahlawan,"b'@mbahndi dokter cerdas\n\nYa kali, gw mesti booster dulu Pfizer, klo gak nanti gw kerjanya yang ada malah ke Afrika a\xe2\x80\xa6 https://t.co/50SIMRVk1W'"
2021-10-12 15:33:12,1447948474524188677,polsek_karawaci,"b'Vaksinasi Merdeka\nRabu, 13 Oktober 2021\n\nBerlalu untuk Umum\n\nMelayani Dosis 1 dan 2 jenis Sinovac\n\n@poldametrojaya\xe2\x80\xa6 https://t.co/nfBUoy17Ni'"
2021-10-12 15:30:17,1447947738285436929,jgn terprovokasi,b'RT @ftrrii1: Kerabat lansia 70th tiba2 batuk berdarah &amp; lemas. Dibawa ke RS &amp; Opname disana yg harusnya BPJS klas 1 jadi di kls 3 krn rwat\xe2\x80\xa6'
2021-10-12 15:28:01,1447947168350826500,🇮🇩 Mr kodok 🇵🇸,b'RT @ftrrii1: Kerabat lansia 70th tiba2 batuk berdarah &amp; lemas. Dibawa ke RS &amp; Opname disana yg harusnya BPJS klas 1 jadi di kls 3 krn rwat\xe2\x80\xa6'
2021-10-12 15:24:29,1447946278684426240,Culay,b'RT @ftrrii1: Kerabat lansia 70th tiba2 batuk berdarah &amp; lemas. Dibawa ke RS &amp; Opname disana yg harusnya BPJS klas 1 jadi di kls 3 krn rwat\xe2\x80\xa6'
2021-10-12 15:19:33,1447945040685252608,iyaudah wis.,b'@fridaNeilaR @infomalang @ummhospital terima kasih kak \xf0\x9f\x99\x8f saya mencari dosis II yg sinovac karna vonis dokter tidak\xe2\x80\xa6 https://t.co/sVwrz6n5Q1'
2021-10-12 15:16:40,1447944312386322434,bunga,"b'@amwidyou Katanya Sinovac lebih mild KIPI-nya yaa. Semoga yang kedua aman-aman yaa! Jangan begadang, Teh!'"
2021-10-12 15:14:00,1447943640785903619,교수님,"b'Kalo dipikir juga, skg kita lg landai banget krn lagi \xe2\x80\x98herd immunity\xe2\x80\x99 bekas puncak tingginya kemarin, kan katanya p\xe2\x80\xa6 https://t.co/WP62sAvha5'"
2021-10-12 15:13:49,1447943598171852804,"Info Detoks Usus, Baca Pinned Tweet","b'@AFBunga Aku Sinovac, Bungaaa.. Akk ga sabar bentar lagi aku juga komplit. \xf0\x9f\x98\x8d'"
2021-10-12 15:13:23,1447943488553644039,"Info Detoks Usus, Baca Pinned Tweet",b'@sipipibuled Sinovac.. Katanya kan itu yang aman untuk bumil busui.'
2021-10-12 15:13:03,1447943404940263429,iyaudah wis.,"b'@infomalang @fridaNeilaR baiklah terima kasih infonya kakk \xf0\x9f\x99\x8f karna sama dokter ndak boleh vaksin dosis II AZ lagi, harus sinovac \xf0\x9f\xa5\xb2'"
2021-10-12 15:05:30,1447941503909834753,`ken maw bigwin,b'biasanya sinovac kebanyakan ngantuk ya efek sampingnya?'
2021-10-12 15:01:34,1447940511923376135,Ira Hairida,"b'@SerenaDarsono Sebage penerima vaksin Sinovac, kayaknya gak bakal ngaruh negara mana yang open border. Kebanyakan gak nerima Sinovac \xf0\x9f\x99\x84\xf0\x9f\x99\x84\xf0\x9f\x99\x84'"
2021-10-12 15:00:44,1447940303046991873,Portal Berita MyKMU,b'Penerima Sinovac perlu dos penggalak untuk tunai\xc2\xa0umrah https://t.co/qqB4NVa5qh'
2021-10-12 14:51:25,1447937959978754051,Era Indonesia,b'Indonesia sudah diperbolehkan umrah oleh pemerintah Arab Saudi.\n\nNamun terkendala vaksin di mana mayoritas masyarak\xe2\x80\xa6 https://t.co/G70GjXs9ab'
2021-10-12 14:50:38,1447937761483317248,Dwitama K.,b'RT @tvOneNews: Vaksin Sinovac Disetujui Sebagai Syarat Pemberangkatan Jemaah Umrah https://t.co/cTdrMIiJrn'
2021-10-12 14:44:11,1447936138128277508,arummmmm,b'sinovac bawaannya bikin ngantuk sm gampang laper hadeh'
2021-10-12 14:40:18,1447935161207857153,taat_hukum,b'RT @ftrrii1: Kerabat lansia 70th tiba2 batuk berdarah &amp; lemas. Dibawa ke RS &amp; Opname disana yg harusnya BPJS klas 1 jadi di kls 3 krn rwat\xe2\x80\xa6'
2021-10-12 14:39:56,1447935070233301001,rayen,"b'@Adindaalyaa_ kok gua baru tau din, mana bsk 2nd dose sinovac\xf0\x9f\x98\xb5\xe2\x80\x8d\xf0\x9f\x92\xab'"
2021-10-12 14:33:46,1447933517690703876,Mur Baud,"b""RT @ruliemaulana: WHO bilang lansia yang divaksin sinovac mestinya tiga kali.\n\nPadahal disini lansia yang dua kali baru 21%. 'Petugas Publi\xe2\x80\xa6"""
2021-10-12 14:29:57,1447932557216129024,Kian Sudahlah,b'*VAKSINASI SINOVAC DOSIS KE-2*\n(UMUR 12 TAHUN KEATAS)\n*VAKSINASI ASTRAZENECA DAN MODERNA DOSIS KE-2*\n(UMUR 18 TAHUN\xe2\x80\xa6 https://t.co/KiZ4EqKRf3'
2021-10-12 14:27:49,1447932021553176589,Whip for Jiwon Supremacy,b'@FKairun haah macam ada brother yang buat Tiktok tu.. Kena ambil booster\n\nAdehh Sinovac kee. Takpelah kalau tak gi UAE selamat lagi rasanya'
2021-10-12 14:26:06,1447931589485338630,なこ笑顔,b'@hyeminsora Kesian sinovac dgr citer tak laku \xf0\x9f\x98\x85 dah kte sinovac\xe2\x80\xa6sepasal nak gi kena amek booster tu kan'
2021-10-12 14:21:13,1447930357362405384,Bayu Abbas Thorpa,"b'RT @TdWyd: Halo Jabodetabek ada yg butuh akses vaksin dosis 1 atau dosis 2? Yg butuh bisa kontak gue kebetulan ada jatah CSR dari kantor, L\xe2\x80\xa6'"
2021-10-12 14:20:11,1447930098771021840,ddy,"b'RT @TdWyd: Halo Jabodetabek ada yg butuh akses vaksin dosis 1 atau dosis 2? Yg butuh bisa kontak gue kebetulan ada jatah CSR dari kantor, L\xe2\x80\xa6'"
2021-10-12 14:19:42,1447929976083394572,MasDick,b'Dapet info..Jogja kebagian stock Pfizer dan AZ..\nRS kena tunjuk juga. \xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\nRibet ga nih ngurusin Pfizer ya?\nEnakan\xe2\x80\xa6 https://t.co/ZklwAGYXAR'
2021-10-12 14:15:45,1447928981366390791,teddy wahyudi,b'Halo Jabodetabek ada yg butuh akses vaksin dosis 1 atau dosis 2? Yg butuh bisa kontak gue kebetulan ada jatah CSR d\xe2\x80\xa6 https://t.co/tWgiHI30UB'
2021-10-12 14:15:41,1447928965029670917,Rulie Maulana,"b""WHO bilang lansia yang divaksin sinovac mestinya tiga kali.\n\nPadahal disini lansia yang dua kali baru 21%. 'Petugas\xe2\x80\xa6 https://t.co/VJG74OqWUo"""
2021-10-12 14:10:14,1447927595052539913,nawaitu menang GA🍀😎🔫,b'@banjarbase Aku sinovac semalam asa singkal'
2021-10-12 14:07:51,1447926995820683269,Mahardika,"b'Jane aku ki ultramen, tapi bar vaksin sinovac kekuatan ku ilang'"
2021-10-12 14:06:29,1447926650134573056,Farah Nathan,b'RT @chinta_chintata: Indonesia kedatangan dua tahap vaksin. Vaksin tahap ke-71 berupa 5 juta dosis vaksin Sinovac dalam bentuk jadi. Total\xe2\x80\xa6'
2021-10-12 14:06:13,1447926584137162753,Leeyona,"b'RT @KangCendol_33: Puanesia, Ketua Dewan Perwakilan Rakyat (DPR) Puan Maharani menyalurkan 10 ribu Vaksin Sinovac dan paket sembako untuk m\xe2\x80\xa6'"
2021-10-12 14:03:04,1447925793091465220,KelianBanjar GarisKeras🙅🏽‍♀️💤,"b'RT @KangCendol_33: Puanesia, Ketua Dewan Perwakilan Rakyat (DPR) Puan Maharani menyalurkan 10 ribu Vaksin Sinovac dan paket sembako untuk m\xe2\x80\xa6'"
2021-10-12 13:56:25,1447924119685767177,kim ᵕ̈,"b'@prvcffe haah do aku tak suka cup sebab rasa pelik so aku masak yang bungkus rupanya dua kali lima je hm , dorang k\xe2\x80\xa6 https://t.co/jedR3dPggf'"
2021-10-12 13:51:32,1447922889517322248,AMALmedia News,b'Umrah \xe2\x80\x93 Dos Tambahan Untuk Sinovac. https://t.co/JBsehtt6BC'
2021-10-12 13:51:31,1447922886342230025,put,b'@hamadaasahiya Vaksinnya masih ga diakui sih katanya nyaa yg sinovac. Sebel'
2021-10-12 13:49:12,1447922299949260802,Mi amor🌹🇲🇾🇵🇸,b'RT @bharianmy: #BHnasional Arab Saudi tetapkan syarat suntikan ketiga sebelum ke Tanah Suci\n\nhttps://t.co/TN5GzDKPAF'
2021-10-12 13:48:37,1447922156193599490,Zpow Zheevau,b'RT @ftrrii1: Kerabat lansia 70th tiba2 batuk berdarah &amp; lemas. Dibawa ke RS &amp; Opname disana yg harusnya BPJS klas 1 jadi di kls 3 krn rwat\xe2\x80\xa6'
2021-10-12 13:48:05,1447922021359255553,Emak2 pecinta pete,b'RT @ftrrii1: Kerabat lansia 70th tiba2 batuk berdarah &amp; lemas. Dibawa ke RS &amp; Opname disana yg harusnya BPJS klas 1 jadi di kls 3 krn rwat\xe2\x80\xa6'
2021-10-12 13:47:15,1447921812235558913,Nyun (?),"b'RT @VisitJepara: Vaksinasi #Covid19 untuk masyarakat Jepara Dosis 1 #AstraZeneca &amp; Dosis 2 #Sinovac pada Rabu s/d Jumat, 13-15 Oktober 2021\xe2\x80\xa6'"
2021-10-12 13:47:07,1447921776504328192,cantiknyaaa,"b'@quartararoquez @txtdrbekasi kantor laka kalimalang adaa mass, sinovac dosis 1 &amp; 2 bisaa, dari jam 8-11 ada sampe hari sabtuu'"
2021-10-12 13:45:53,1447921466109046792,cantiknyaaa,"b'@wisudaonline @txtdrbekasi di kantor laka kalimalang adaa sampe hari sabtu dari jam 8-11, vaksin sinovac 1 &amp; 2 bisaaaaa'"
2021-10-12 13:44:26,1447921100252487686,gausa kepo dan,b'@txtdrbekasi Dosis 2 sinovac yg bisa ktp se indonesia/ga harus domisili dongggg\nAma yg buat 12+ kl bisaa'
2021-10-12 13:41:51,1447920451519275009,"Mukibinmukibin @gmail,Com",b'RT @e100ss: #SSInfo: Ada kegiatan vaksinasi Covid-19 di Lt. 5 Pasar Atom 11-13 Oktober 2021 pk. 08.00-14.00 WIB bekerja sama dengan RS Bhay\xe2\x80\xa6'
2021-10-12 13:41:41,1447920409035280390,Aulia' Rizki Abadi,b'RT @littleninong: @infomalang Yang perlu vaksin sinovac dosis1 masih ada slot di https://t.co/TS1wrrGT5g untuk kamis dan jumat 14-15/10/202\xe2\x80\xa6'
2021-10-12 13:41:33,1447920378668634117,Mr. 🅱,b'Kante jaanong sinovac e dira joint bothoko ke sa bolo go kenta\xf0\x9f\x98\xad'
2021-10-12 13:40:47,1447920184401043462,PILLY ONG,"b'RT @fmtoday: Penerima Sinovac boleh tunaikan umrah, cuma perlu dos ketiga #FMTNews https://t.co/QnplyQnFCt'"
