,waktu,id,username,teks,text,WordToken,SentToken,WordLemma
916,2021-10-11 13:32:51,1447555800570892289,عذميذم,  siapa yang ambil sinovac masih dikategorikan sebagai unvaccinated daripada government uk yaa still kena kuarantin 10 daysxe2x80xa6,  siapa yang ambil sinovac masih dikategorikan sebagai unvaccinated daripada government uk yaa still kena kuarantin 10 daysxe2x80xa6,"['siapa', 'yang', 'ambil', 'sinovac', 'masih', 'dikategorikan', 'sebagai', 'unvaccinated', 'daripada', 'government', 'uk', 'yaa', 'still', 'kena', 'kuarantin', '10', 'daysxe2x80xa6']",['  siapa yang ambil sinovac masih dikategorikan sebagai unvaccinated daripada government uk yaa still kena kuarantin 10 daysxe2x80xa6'],"['siapa', 'yang', 'ambil', 'sinovac', 'masih', 'dikategorikan', 'sebagai', 'unvaccinated', 'daripada', 'government', 'uk', 'yaa', 'still', 'kena', 'kuarantin', '10', 'daysxe2x80xa6']"
917,2021-10-11 13:32:26,1447555693116989441,Apislah,  11 qatar  pcr test negative 72 jam sebelum tiba  no quarantine  sinopharm sinovac sputnik vaccine perlu ambik serolxe2x80xa6,  11 qatar  pcr test negative 72 jam sebelum tiba  no quarantine  sinopharm sinovac sputnik vaccine perlu ambik serolxe2x80xa6,"['11', 'qatar', 'pcr', 'test', 'negative', '72', 'jam', 'sebelum', 'tiba', 'no', 'quarantine', 'sinopharm', 'sinovac', 'sputnik', 'vaccine', 'perlu', 'ambik', 'serolxe2x80xa6']",['  11 qatar  pcr test negative 72 jam sebelum tiba  no quarantine  sinopharm sinovac sputnik vaccine perlu ambik serolxe2x80xa6'],"['11', 'qatar', 'pcr', 'test', 'negative', '72', 'jam', 'sebelum', 'tiba', 'no', 'quarantine', 'sinopharm', 'sinovac', 'sputnik', 'vaccine', 'perlu', 'ambik', 'serolxe2x80xa6']"
918,2021-10-11 13:31:35,1447555478989328395,KALANGLUNDO BAGIAN CIDRO,aku asline kuat koyo shiva tapi baru di vaksin sinovac dadi ilang kabeh kekuatan ku,aku asline kuat koyo shiva tapi baru di vaksin sinovac dadi ilang kabeh kekuatan ku,"['aku', 'asline', 'kuat', 'koyo', 'shiva', 'tapi', 'baru', 'di', 'vaksin', 'sinovac', 'dadi', 'ilang', 'kabeh', 'kekuatan', 'ku']",['aku asline kuat koyo shiva tapi baru di vaksin sinovac dadi ilang kabeh kekuatan ku'],"['aku', 'asline', 'kuat', 'koyo', 'shiva', 'tapi', 'baru', 'di', 'vaksin', 'sinovac', 'dadi', 'ilang', 'kabeh', 'kekuatan', 'ku']"
919,2021-10-11 13:31:03,1447555345233047558,Bintang,  efikasi vaksin sinovac berkurang setelah melampaui 3 hingga 6 bulan berikut faktafaktanya ,  efikasi vaksin sinovac berkurang setelah melampaui 3 hingga 6 bulan berikut faktafaktanya ,"['efikasi', 'vaksin', 'sinovac', 'berkurang', 'setelah', 'melampaui', '3', 'hingga', '6', 'bulan', 'berikut', 'faktafaktanya']",['  efikasi vaksin sinovac berkurang setelah melampaui 3 hingga 6 bulan berikut faktafaktanya'],"['efikasi', 'vaksin', 'sinovac', 'berkurang', 'setelah', 'melampaui', '3', 'hingga', '6', 'bulan', 'berikut', 'faktafaktanya']"
920,2021-10-11 13:30:55,1447555314769928198,Apriliacantik, jerman gak mengakui sinovac jelas teulis di website kedutaan, jerman gak mengakui sinovac jelas teulis di website kedutaan,"['jerman', 'gak', 'mengakui', 'sinovac', 'jelas', 'teulis', 'di', 'website', 'kedutaan']",[' jerman gak mengakui sinovac jelas teulis di website kedutaan'],"['jerman', 'gak', 'mengakui', 'sinovac', 'jelas', 'teulis', 'di', 'website', 'kedutaan']"
921,2021-10-11 13:30:18,1447555157063913477,abii very ia :),mendingan sinovac apa pfizer,mendingan sinovac apa pfizer,"['mendingan', 'sinovac', 'apa', 'pfizer']",['mendingan sinovac apa pfizer'],"['mendingan', 'sinovac', 'apa', 'pfizer']"
922,2021-10-11 13:28:13,1447554635292577794,Jan Ne,  super junior 16th debut anniversary b16 inspiration  vaksin massal   sabtu 16 oktober 2021 xe2x8fxb0 8 sampai 12 siang ,  super junior 16th debut anniversary b16 inspiration  vaksin massal   sabtu 16 oktober 2021 xe2x8fxb0 8 sampai 12 siang ,"['super', 'junior', '16th', 'debut', 'anniversary', 'b16', 'inspiration', 'vaksin', 'massal', 'sabtu', '16', 'oktober', '2021', 'xe2x8fxb0', '8', 'sampai', '12', 'siang']",['  super junior 16th debut anniversary b16 inspiration  vaksin massal   sabtu 16 oktober 2021 xe2x8fxb0 8 sampai 12 siang'],"['super', 'junior', '16th', 'debut', 'anniversary', 'b16', 'inspiration', 'vaksin', 'massal', 'sabtu', '16', 'oktober', '2021', 'xe2x8fxb0', '8', 'sampai', '12', 'siang']"
923,2021-10-11 13:27:13,1447554379624501248,Hj Awang Tahir,   salam dsai boleh minta pencerahan daripada  kenapa sebelum ni dia mention sesiapa yang sudah complexe2x80xa6,   salam dsai boleh minta pencerahan daripada  kenapa sebelum ni dia mention sesiapa yang sudah complexe2x80xa6,"['salam', 'dsai', 'boleh', 'minta', 'pencerahan', 'daripada', 'kenapa', 'sebelum', 'ni', 'dia', 'mention', 'sesiapa', 'yang', 'sudah', 'complexe2x80xa6']",['   salam dsai boleh minta pencerahan daripada  kenapa sebelum ni dia mention sesiapa yang sudah complexe2x80xa6'],"['salam', 'dsai', 'boleh', 'minta', 'pencerahan', 'daripada', 'kenapa', 'sebelum', 'ni', 'dia', 'mention', 'sesiapa', 'yang', 'sudah', 'complexe2x80xa6']"
924,2021-10-11 13:26:14,1447554133234384897,Ciduk Daku,  sudah semoga rezeki,  sudah semoga rezeki,"['sudah', 'semoga', 'rezeki']",['  sudah semoga rezeki'],"['sudah', 'semoga', 'rezeki']"
925,2021-10-11 13:22:18,1447553142762061827,!azzi, daftarnya sih pfizer cuma tergantung nanti pas pendaftaran karena stok pfizer terbatas kalau engga dapet pfizer ya sinovac, daftarnya sih pfizer cuma tergantung nanti pas pendaftaran karena stok pfizer terbatas kalau engga dapet pfizer ya sinovac,"['daftarnya', 'sih', 'pfizer', 'cuma', 'tergantung', 'nanti', 'pas', 'pendaftaran', 'karena', 'stok', 'pfizer', 'terbatas', 'kalau', 'engga', 'dapet', 'pfizer', 'ya', 'sinovac']",[' daftarnya sih pfizer cuma tergantung nanti pas pendaftaran karena stok pfizer terbatas kalau engga dapet pfizer ya sinovac'],"['daftarnya', 'sih', 'pfizer', 'cuma', 'tergantung', 'nanti', 'pa', 'pendaftaran', 'karena', 'stok', 'pfizer', 'terbatas', 'kalau', 'engga', 'dapet', 'pfizer', 'ya', 'sinovac']"
926,2021-10-11 13:19:00,1447552312075960327,Polres Bangkalan,apa anda sudah vaksin kalau belum vaksin segera vaksin di tempat tempat yang sudah di sediakan yang akan dilaksaxe2x80xa6 ,apa anda sudah vaksin kalau belum vaksin segera vaksin di tempat tempat yang sudah di sediakan yang akan dilaksaxe2x80xa6 ,"['apa', 'anda', 'sudah', 'vaksin', 'kalau', 'belum', 'vaksin', 'segera', 'vaksin', 'di', 'tempat', 'tempat', 'yang', 'sudah', 'di', 'sediakan', 'yang', 'akan', 'dilaksaxe2x80xa6']",['apa anda sudah vaksin kalau belum vaksin segera vaksin di tempat tempat yang sudah di sediakan yang akan dilaksaxe2x80xa6'],"['apa', 'anda', 'sudah', 'vaksin', 'kalau', 'belum', 'vaksin', 'segera', 'vaksin', 'di', 'tempat', 'tempat', 'yang', 'sudah', 'di', 'sediakan', 'yang', 'akan', 'dilaksaxe2x80xa6']"
927,2021-10-11 13:15:04,1447551325890355200,Aurora,  hello   saya nak tanya pasal vaksin malaysia skrg ni mmg ada ke ppv klinik yang bg vaksin tak ikut apa yg 1st dxe2x80xa6,  hello   saya nak tanya pasal vaksin malaysia skrg ni mmg ada ke ppv klinik yang bg vaksin tak ikut apa yg 1st dxe2x80xa6,"['hello', 'saya', 'nak', 'tanya', 'pasal', 'vaksin', 'malaysia', 'skrg', 'ni', 'mmg', 'ada', 'ke', 'ppv', 'klinik', 'yang', 'bg', 'vaksin', 'tak', 'ikut', 'apa', 'yg', '1st', 'dxe2x80xa6']",['  hello   saya nak tanya pasal vaksin malaysia skrg ni mmg ada ke ppv klinik yang bg vaksin tak ikut apa yg 1st dxe2x80xa6'],"['hello', 'saya', 'nak', 'tanya', 'pasal', 'vaksin', 'malaysia', 'skrg', 'ni', 'mmg', 'ada', 'ke', 'ppv', 'klinik', 'yang', 'bg', 'vaksin', 'tak', 'ikut', 'apa', 'yg', '1st', 'dxe2x80xa6']"
928,2021-10-11 13:13:34,1447550945785618435,Rayhan Hakim,kok bisa yaa gw di seifikat vaksin yang dikasih itu tulisannya vaksin biofarma di aplikasi pedulilindungi kok sinovac yaaa,kok bisa yaa gw di seifikat vaksin yang dikasih itu tulisannya vaksin biofarma di aplikasi pedulilindungi kok sinovac yaaa,"['kok', 'bisa', 'yaa', 'gw', 'di', 'seifikat', 'vaksin', 'yang', 'dikasih', 'itu', 'tulisannya', 'vaksin', 'biofarma', 'di', 'aplikasi', 'pedulilindungi', 'kok', 'sinovac', 'yaaa']",['kok bisa yaa gw di seifikat vaksin yang dikasih itu tulisannya vaksin biofarma di aplikasi pedulilindungi kok sinovac yaaa'],"['kok', 'bisa', 'yaa', 'gw', 'di', 'seifikat', 'vaksin', 'yang', 'dikasih', 'itu', 'tulisannya', 'vaksin', 'biofarma', 'di', 'aplikasi', 'pedulilindungi', 'kok', 'sinovac', 'yaaa']"
929,2021-10-11 13:13:24,1447550904027258882,Isma Ibrahim,  hello   saya nak tanya pasal vaksin malaysia skrg ni mmg ada ke ppv klinik yang bg vaksin tak ikut apa yg 1st dxe2x80xa6,  hello   saya nak tanya pasal vaksin malaysia skrg ni mmg ada ke ppv klinik yang bg vaksin tak ikut apa yg 1st dxe2x80xa6,"['hello', 'saya', 'nak', 'tanya', 'pasal', 'vaksin', 'malaysia', 'skrg', 'ni', 'mmg', 'ada', 'ke', 'ppv', 'klinik', 'yang', 'bg', 'vaksin', 'tak', 'ikut', 'apa', 'yg', '1st', 'dxe2x80xa6']",['  hello   saya nak tanya pasal vaksin malaysia skrg ni mmg ada ke ppv klinik yang bg vaksin tak ikut apa yg 1st dxe2x80xa6'],"['hello', 'saya', 'nak', 'tanya', 'pasal', 'vaksin', 'malaysia', 'skrg', 'ni', 'mmg', 'ada', 'ke', 'ppv', 'klinik', 'yang', 'bg', 'vaksin', 'tak', 'ikut', 'apa', 'yg', '1st', 'dxe2x80xa6']"
930,2021-10-11 13:13:10,1447550845730627590,Mohammad Fitri,  hello   saya nak tanya pasal vaksin malaysia skrg ni mmg ada ke ppv klinik yang bg vaksin tak ikut apa yg 1st dxe2x80xa6,  hello   saya nak tanya pasal vaksin malaysia skrg ni mmg ada ke ppv klinik yang bg vaksin tak ikut apa yg 1st dxe2x80xa6,"['hello', 'saya', 'nak', 'tanya', 'pasal', 'vaksin', 'malaysia', 'skrg', 'ni', 'mmg', 'ada', 'ke', 'ppv', 'klinik', 'yang', 'bg', 'vaksin', 'tak', 'ikut', 'apa', 'yg', '1st', 'dxe2x80xa6']",['  hello   saya nak tanya pasal vaksin malaysia skrg ni mmg ada ke ppv klinik yang bg vaksin tak ikut apa yg 1st dxe2x80xa6'],"['hello', 'saya', 'nak', 'tanya', 'pasal', 'vaksin', 'malaysia', 'skrg', 'ni', 'mmg', 'ada', 'ke', 'ppv', 'klinik', 'yang', 'bg', 'vaksin', 'tak', 'ikut', 'apa', 'yg', '1st', 'dxe2x80xa6']"
931,2021-10-11 13:11:01,1447550303465717765,SeputariNewsRCTI,kementerian kesehatan arab saudi mengatakan hanya jemaah yang telah menerima dua dosis vaksin covid19 yang disetuxe2x80xa6 ,kementerian kesehatan arab saudi mengatakan hanya jemaah yang telah menerima dua dosis vaksin covid19 yang disetuxe2x80xa6 ,"['kementerian', 'kesehatan', 'arab', 'saudi', 'mengatakan', 'hanya', 'jemaah', 'yang', 'telah', 'menerima', 'dua', 'dosis', 'vaksin', 'covid19', 'yang', 'disetuxe2x80xa6']",['kementerian kesehatan arab saudi mengatakan hanya jemaah yang telah menerima dua dosis vaksin covid19 yang disetuxe2x80xa6'],"['kementerian', 'kesehatan', 'arab', 'saudi', 'mengatakan', 'hanya', 'jemaah', 'yang', 'telah', 'menerima', 'dua', 'dosis', 'vaksin', 'covid19', 'yang', 'disetuxe2x80xa6']"
932,2021-10-11 13:08:47,1447549743865888774,Ciduk Daku, mau buat beliin kedua orang tua untuk bahagian beliau kak  beliin buahmakananyang enak2xe2x80xa6 , mau buat beliin kedua orang tua untuk bahagian beliau kak  beliin buahmakananyang enak2xe2x80xa6 ,"['mau', 'buat', 'beliin', 'kedua', 'orang', 'tua', 'untuk', 'bahagian', 'beliau', 'kak', 'beliin', 'buahmakananyang', 'enak2xe2x80xa6']",[' mau buat beliin kedua orang tua untuk bahagian beliau kak  beliin buahmakananyang enak2xe2x80xa6'],"['mau', 'buat', 'beliin', 'kedua', 'orang', 'tua', 'untuk', 'bahagian', 'beliau', 'kak', 'beliin', 'buahmakananyang', 'enak2xe2x80xa6']"
933,2021-10-11 13:07:09,1447549330924007426,Didit Tarzan,  efikasi vaksin sinovac berkurang setelah melampaui 3 hingga 6 bulan berikut faktafaktanya ,  efikasi vaksin sinovac berkurang setelah melampaui 3 hingga 6 bulan berikut faktafaktanya ,"['efikasi', 'vaksin', 'sinovac', 'berkurang', 'setelah', 'melampaui', '3', 'hingga', '6', 'bulan', 'berikut', 'faktafaktanya']",['  efikasi vaksin sinovac berkurang setelah melampaui 3 hingga 6 bulan berikut faktafaktanya'],"['efikasi', 'vaksin', 'sinovac', 'berkurang', 'setelah', 'melampaui', '3', 'hingga', '6', 'bulan', 'berikut', 'faktafaktanya']"
934,2021-10-11 13:06:20,1447549127936528390,syacyᴸ✰ ia, lu vaksinnya apa sinovac, lu vaksinnya apa sinovac,"['lu', 'vaksinnya', 'apa', 'sinovac']",[' lu vaksinnya apa sinovac'],"['lu', 'vaksinnya', 'apa', 'sinovac']"
935,2021-10-11 13:04:10,1447548578986016769,z,hello   saya nak tanya pasal vaksin malaysia skrg ni mmg ada ke ppv klinik yang bg vaksin tak ikut apaxe2x80xa6 ,hello   saya nak tanya pasal vaksin malaysia skrg ni mmg ada ke ppv klinik yang bg vaksin tak ikut apaxe2x80xa6 ,"['hello', 'saya', 'nak', 'tanya', 'pasal', 'vaksin', 'malaysia', 'skrg', 'ni', 'mmg', 'ada', 'ke', 'ppv', 'klinik', 'yang', 'bg', 'vaksin', 'tak', 'ikut', 'apaxe2x80xa6']",['hello   saya nak tanya pasal vaksin malaysia skrg ni mmg ada ke ppv klinik yang bg vaksin tak ikut apaxe2x80xa6'],"['hello', 'saya', 'nak', 'tanya', 'pasal', 'vaksin', 'malaysia', 'skrg', 'ni', 'mmg', 'ada', 'ke', 'ppv', 'klinik', 'yang', 'bg', 'vaksin', 'tak', 'ikut', 'apaxe2x80xa6']"
936,2021-10-11 12:53:44,1447545953423020034,wiwik,  calon jemaah umrah pengguna vaksin sinovac siapsiap disuntik dosis 3     ,  calon jemaah umrah pengguna vaksin sinovac siapsiap disuntik dosis 3     ,"['calon', 'jemaah', 'umrah', 'pengguna', 'vaksin', 'sinovac', 'siapsiap', 'disuntik', 'dosis', '3']",['  calon jemaah umrah pengguna vaksin sinovac siapsiap disuntik dosis 3'],"['calon', 'jemaah', 'umrah', 'pengguna', 'vaksin', 'sinovac', 'siapsiap', 'disuntik', 'dosis', '3']"
937,2021-10-11 12:51:32,1447545401108619267,wind,  super junior 16th debut anniversary b16 inspiration  vaksin massal   sabtu 16 oktober 2021 xe2x8fxb0 8 sampai 12 siang ,  super junior 16th debut anniversary b16 inspiration  vaksin massal   sabtu 16 oktober 2021 xe2x8fxb0 8 sampai 12 siang ,"['super', 'junior', '16th', 'debut', 'anniversary', 'b16', 'inspiration', 'vaksin', 'massal', 'sabtu', '16', 'oktober', '2021', 'xe2x8fxb0', '8', 'sampai', '12', 'siang']",['  super junior 16th debut anniversary b16 inspiration  vaksin massal   sabtu 16 oktober 2021 xe2x8fxb0 8 sampai 12 siang'],"['super', 'junior', '16th', 'debut', 'anniversary', 'b16', 'inspiration', 'vaksin', 'massal', 'sabtu', '16', 'oktober', '2021', 'xe2x8fxb0', '8', 'sampai', '12', 'siang']"
938,2021-10-11 12:49:44,1447544950124519425,iNews,berikut syarat umrah dari otoritas arab saudi ,berikut syarat umrah dari otoritas arab saudi ,"['berikut', 'syarat', 'umrah', 'dari', 'otoritas', 'arab', 'saudi']",['berikut syarat umrah dari otoritas arab saudi'],"['berikut', 'syarat', 'umrah', 'dari', 'otoritas', 'arab', 'saudi']"
939,2021-10-11 12:49:17,1447544834164547585,iNews.id,berikut syarat umrah dari otoritas arab saudi ,berikut syarat umrah dari otoritas arab saudi ,"['berikut', 'syarat', 'umrah', 'dari', 'otoritas', 'arab', 'saudi']",['berikut syarat umrah dari otoritas arab saudi'],"['berikut', 'syarat', 'umrah', 'dari', 'otoritas', 'arab', 'saudi']"
940,2021-10-11 12:45:59,1447544004535414791,sháa soptiee ִֶָ ⑅ CRY JENO ‼️,kucing w dinamain sm papa sinovac ,kucing w dinamain sm papa sinovac ,"['kucing', 'w', 'dinamain', 'sm', 'papa', 'sinovac']",['kucing w dinamain sm papa sinovac'],"['kucing', 'w', 'dinamain', 'sm', 'papa', 'sinovac']"
941,2021-10-11 12:45:39,1447543921962209289,👑 The Renaissance 🌜💙🌞,  super junior 16th debut anniversary b16 inspiration  vaksin massal   sabtu 16 oktober 2021 xe2x8fxb0 8 sampai 12 siang ,  super junior 16th debut anniversary b16 inspiration  vaksin massal   sabtu 16 oktober 2021 xe2x8fxb0 8 sampai 12 siang ,"['super', 'junior', '16th', 'debut', 'anniversary', 'b16', 'inspiration', 'vaksin', 'massal', 'sabtu', '16', 'oktober', '2021', 'xe2x8fxb0', '8', 'sampai', '12', 'siang']",['  super junior 16th debut anniversary b16 inspiration  vaksin massal   sabtu 16 oktober 2021 xe2x8fxb0 8 sampai 12 siang'],"['super', 'junior', '16th', 'debut', 'anniversary', 'b16', 'inspiration', 'vaksin', 'massal', 'sabtu', '16', 'oktober', '2021', 'xe2x8fxb0', '8', 'sampai', '12', 'siang']"
942,2021-10-11 12:44:03,1447543520034578435,Avi Nurul Oktaviani,  super junior 16th debut anniversary b16 inspiration  vaksin massal   sabtu 16 oktober 2021 xe2x8fxb0 8 sampai 12 siang ,  super junior 16th debut anniversary b16 inspiration  vaksin massal   sabtu 16 oktober 2021 xe2x8fxb0 8 sampai 12 siang ,"['super', 'junior', '16th', 'debut', 'anniversary', 'b16', 'inspiration', 'vaksin', 'massal', 'sabtu', '16', 'oktober', '2021', 'xe2x8fxb0', '8', 'sampai', '12', 'siang']",['  super junior 16th debut anniversary b16 inspiration  vaksin massal   sabtu 16 oktober 2021 xe2x8fxb0 8 sampai 12 siang'],"['super', 'junior', '16th', 'debut', 'anniversary', 'b16', 'inspiration', 'vaksin', 'massal', 'sabtu', '16', 'oktober', '2021', 'xe2x8fxb0', '8', 'sampai', '12', 'siang']"
943,2021-10-11 12:43:41,1447543424127668224,tas⚡,gue tadi siang abis vaksin ke 2 sinovac terus sekarang pusing sama rada mual ,gue tadi siang abis vaksin ke 2 sinovac terus sekarang pusing sama rada mual ,"['gue', 'tadi', 'siang', 'abis', 'vaksin', 'ke', '2', 'sinovac', 'terus', 'sekarang', 'pusing', 'sama', 'rada', 'mual']",['gue tadi siang abis vaksin ke 2 sinovac terus sekarang pusing sama rada mual'],"['gue', 'tadi', 'siang', 'abis', 'vaksin', 'ke', '2', 'sinovac', 'terus', 'sekarang', 'pusing', 'sama', 'rada', 'mual']"
